State,District,Pincode,Year,Quater,Ins_dist_count,Ins_dist_amount,Ins_pincode_count,Ins_pincode_amount
maharashtra,pune,411057,2023,2,25943,39373541.0,1944,2581267.0
maharashtra,pune,411057,2023,3,25053,36210265.0,2098,2821693.0
maharashtra,pune,411057,2023,4,30243,50492209.0,2574,4010497.0
manipur,imphal west,795008,2020,2,16,3285.0,8,1155.0
manipur,imphal west,795004,2020,3,45,16382.0,18,8497.0
manipur,imphal east,795004,2020,4,20,12570.0,13,6853.0
manipur,imphal west,795004,2021,1,46,13194.0,15,4441.0
manipur,imphal west,795004,2021,2,37,32816.0,22,18379.0
manipur,imphal west,795004,2021,3,29,26747.0,16,20732.0
manipur,imphal east,795004,2021,4,34,73197.0,19,28763.0
manipur,imphal west,795004,2022,1,41,129130.0,22,68365.0
manipur,imphal west,795004,2022,2,69,180186.0,50,124541.0
manipur,imphal west,795004,2022,3,51,78530.0,22,25653.0
manipur,imphal west,795004,2022,4,77,190653.0,28,82038.0
manipur,imphal west,795004,2023,1,69,201073.0,34,121312.0
manipur,imphal west,795004,2023,2,37,84234.0,22,49004.0
manipur,imphal west,795004,2023,3,35,74416.0,25,24469.0
manipur,imphal west,795004,2023,4,84,166274.0,50,70452.0
meghalaya,east khasi hills,793001,2020,2,18,3753.0,7,1252.0
meghalaya,east khasi hills,793210,2020,3,52,14174.0,17,4534.0
meghalaya,east khasi hills,793002,2020,4,53,37940.0,22,7928.0
meghalaya,east khasi hills,793001,2021,1,39,56235.0,8,8874.0
meghalaya,east khasi hills,793001,2021,2,67,76168.0,16,18996.0
meghalaya,east khasi hills,793001,2021,3,52,83975.0,19,25607.0
meghalaya,east khasi hills,793001,2021,4,132,226912.0,42,68228.0
meghalaya,east khasi hills,793001,2022,1,133,309643.0,42,126761.0
meghalaya,east khasi hills,793001,2022,2,190,337842.0,54,73068.0
meghalaya,east khasi hills,793001,2022,3,267,427341.0,93,129948.0
meghalaya,east khasi hills,793001,2022,4,293,521881.0,76,136511.0
meghalaya,east khasi hills,793001,2023,1,229,426416.0,55,95564.0
meghalaya,east khasi hills,793001,2023,2,274,524055.0,78,117024.0
meghalaya,east khasi hills,793001,2023,3,331,624099.0,71,118274.0
meghalaya,east khasi hills,793001,2023,4,328,751846.0,72,142069.0
mizoram,aizawl,796012,2020,2,26,6121.0,10,1951.0
mizoram,aizawl,796005,2020,3,55,19936.0,16,5068.0
mizoram,aizawl,796005,2020,4,43,74456.0,15,12907.0
mizoram,aizawl,796014,2021,1,374,268255.0,318,210495.0
mizoram,aizawl,796014,2021,2,149,105527.0,101,70071.0
mizoram,aizawl,796014,2021,3,58,66033.0,28,20083.0
mizoram,aizawl,796005,2021,4,58,91842.0,20,28366.0
mizoram,aizawl,796009,2022,1,55,107088.0,15,28750.0
mizoram,aizawl,796005,2022,2,34,52843.0,10,19886.0
mizoram,aizawl,796009,2022,3,232,336391.0,73,111792.0
mizoram,aizawl,796009,2022,4,219,360472.0,95,141014.0
mizoram,aizawl,796009,2023,1,119,198553.0,40,81182.0
mizoram,aizawl,796009,2023,2,70,139004.0,24,66841.0
mizoram,aizawl,796005,2023,3,112,179859.0,34,62963.0
mizoram,aizawl,796009,2023,4,204,306611.0,57,90719.0
nagaland,dimapur,797112,2020,2,27,6065.0,19,3940.0
nagaland,dimapur,797112,2020,3,57,11587.0,24,3461.0
nagaland,dimapur,797112,2020,4,34,25648.0,15,14108.0
nagaland,dimapur,797112,2021,1,48,33072.0,26,9899.0
nagaland,dimapur,797112,2021,2,61,107022.0,33,20179.0
nagaland,dimapur,797112,2021,3,66,98101.0,23,25286.0
nagaland,dimapur,797112,2021,4,133,229207.0,59,91299.0
nagaland,dimapur,797112,2022,1,137,296222.0,71,118361.0
nagaland,dimapur,797112,2022,2,104,204434.0,46,89303.0
nagaland,dimapur,797112,2022,3,140,278631.0,66,98674.0
nagaland,dimapur,797112,2022,4,254,442630.0,111,160079.0
nagaland,dimapur,797112,2023,1,204,445500.0,101,200782.0
nagaland,dimapur,797112,2023,2,189,368751.0,94,169731.0
nagaland,dimapur,797112,2023,3,179,396241.0,101,187390.0
nagaland,dimapur,797112,2023,4,221,486852.0,108,239324.0
odisha,khordha,751002,2020,2,948,176670.0,100,17190.0
odisha,khordha,751002,2020,3,2540,565649.0,238,58689.0
odisha,khordha,751021,2020,4,1675,954884.0,118,58047.0
odisha,khordha,751019,2021,1,1758,1051292.0,121,76011.0
odisha,khordha,751006,2021,2,1626,1331503.0,125,154589.0
odisha,khordha,751024,2021,3,1726,1334699.0,119,111789.0
odisha,khordha,751024,2021,4,2185,2421437.0,205,280110.0
odisha,khordha,751024,2022,1,2159,2889267.0,172,247802.0
odisha,khordha,768038,2022,2,2952,3832775.0,371,308317.0
odisha,khordha,751002,2022,3,4154,4731441.0,355,380350.0
odisha,khordha,751024,2022,4,5189,6823790.0,420,476232.0
odisha,khordha,751024,2023,1,4227,6118201.0,337,412773.0
odisha,khordha,751002,2023,2,4794,6403803.0,407,569938.0
odisha,khordha,751002,2023,3,4977,6676447.0,355,381118.0
odisha,khordha,751002,2023,4,5909,9220158.0,460,702688.0
puducherry,puducherry,605013,2020,2,98,18574.0,25,3845.0
