State,District,Year,Quater,Insurance_count,Insurance_amount
andhra-pradesh,west godavari district,2021,2,4170,2327122.0
andhra-pradesh,kurnool district,2021,2,1410,941389.0
andhra-pradesh,chittoor district,2021,2,2392,1839579.0
andhra-pradesh,guntur district,2021,2,2967,2201793.0
andhra-pradesh,krishna district,2021,2,3451,2494257.0
andhra-pradesh,east godavari district,2021,3,2248,2073825.0
andhra-pradesh,srikakulam district,2021,3,798,803258.0
andhra-pradesh,spsr nellore district,2021,3,1486,1161025.0
andhra-pradesh,vizianagaram district,2021,3,736,628946.0
andhra-pradesh,visakhapatnam district,2021,3,4044,3191769.0
andhra-pradesh,prakasam district,2021,3,1050,877683.0
andhra-pradesh,anantapur district,2021,3,1329,1311735.0
andhra-pradesh,ysr district,2021,3,1137,1033282.0
andhra-pradesh,west godavari district,2021,3,1452,1216098.0
andhra-pradesh,kurnool district,2021,3,1027,796678.0
andhra-pradesh,chittoor district,2021,3,1991,1995617.0
andhra-pradesh,guntur district,2021,3,2519,2102143.0
andhra-pradesh,krishna district,2021,3,3258,2722279.0
andhra-pradesh,east godavari district,2021,4,2532,3543718.0
andhra-pradesh,srikakulam district,2021,4,1116,1152210.0
andhra-pradesh,spsr nellore district,2021,4,2369,2345876.0
andhra-pradesh,vizianagaram district,2021,4,924,916336.0
andhra-pradesh,visakhapatnam district,2021,4,4176,5425896.0
andhra-pradesh,prakasam district,2021,4,1181,1328774.0
andhra-pradesh,anantapur district,2021,4,1322,2101400.0
andhra-pradesh,ysr district,2021,4,1449,1479933.0
andhra-pradesh,west godavari district,2021,4,1262,1853561.0
andhra-pradesh,kurnool district,2021,4,910,1306288.0
andhra-pradesh,chittoor district,2021,4,2444,3100521.0
andhra-pradesh,guntur district,2021,4,2709,3214794.0
andhra-pradesh,krishna district,2021,4,3029,3841028.0
andhra-pradesh,east godavari district,2022,1,3605,5199664.0
andhra-pradesh,srikakulam district,2022,1,1004,1393633.0
andhra-pradesh,spsr nellore district,2022,1,1878,2608475.0
andhra-pradesh,vizianagaram district,2022,1,949,1344329.0
andhra-pradesh,visakhapatnam district,2022,1,5196,6953446.0
andhra-pradesh,prakasam district,2022,1,1797,2181402.0
andhra-pradesh,anantapur district,2022,1,1551,2556602.0
andhra-pradesh,ysr district,2022,1,1439,2086496.0
andhra-pradesh,west godavari district,2022,1,1991,3109555.0
