State,District,Year,Quater,Transaction_count,Transaction_amount
assam,tinsukia district,2019,1,147896,296016100.5028683
assam,lakhimpur district,2019,1,84448,135217192.88448116
assam,kamrup district,2019,1,205094,325387078.1294668
assam,kokrajhar district,2019,1,60413,133213397.36930162
assam,karbi anglong district,2019,1,62301,127716945.67539394
assam,sivasagar district,2019,1,73524,126028482.89568174
assam,dibrugarh district,2019,1,180303,308520050.14443624
assam,south salmara mancachar district,2019,1,36980,56376266.78267565
assam,nagaon district,2019,1,265767,382986937.00269973
assam,dhubri district,2019,1,129363,168832530.51137578
assam,golaghat district,2019,1,87815,150699869.58634305
assam,udalguri district,2019,1,57339,103343677.3304387
assam,majuli district,2019,1,15485,17616797.703198176
assam,sonitpur district,2019,1,197716,409811805.46215415
assam,hojai district,2019,1,61983,111715019.69069499
assam,marigaon district,2019,1,162645,225891536.78995085
assam,chirang district,2019,1,32379,57539957.793235525
assam,cachar district,2019,1,206705,335675210.43395036
assam,nalbari district,2019,1,70290,94533334.09474775
assam,west karbi anglong district,2019,1,11141,12368112.989129752
assam,dhemaji district,2019,1,69519,134956449.74452934
assam,karimganj district,2019,1,76238,140750684.4913983
assam,bongaigaon district,2019,1,91061,138479281.39115623
assam,dima hasao district,2019,1,26119,51318304.483347006
assam,baksa district,2019,1,75377,147648364.40043023
assam,charaideo district,2019,1,49174,75457156.83902974
assam,darrang district,2019,1,76056,137391656.7613904
assam,kamrup metropolitan district,2019,1,1306775,2605380335.9221573
assam,hailakandi district,2019,1,51401,76319460.13758466
assam,barpeta district,2019,1,262834,416977891.5222329
assam,goalpara district,2019,1,113947,191744923.215441
assam,biswanath district,2019,1,59752,91143579.39023894
assam,jorhat district,2019,1,125165,215041144.37958878
assam,tinsukia district,2019,2,148294,323303192.86631006
assam,lakhimpur district,2019,2,88545,154536738.9259897
assam,kamrup district,2019,2,176995,334724712.0725308
assam,kokrajhar district,2019,2,58445,136120566.46937045
assam,karbi anglong district,2019,2,62877,150114998.0486763
assam,sivasagar district,2019,2,74192,134981544.55457747
assam,dibrugarh district,2019,2,169357,356524668.62132466
assam,south salmara mancachar district,2019,2,32449,69876713.5681054
assam,nagaon district,2019,2,231423,422774561.3600137
assam,dhubri district,2019,2,101070,201203482.8078656
assam,golaghat district,2019,2,89403,157511569.7769561
assam,udalguri district,2019,2,51326,108912182.9417754
assam,majuli district,2019,2,13800,17825869.547913164
assam,sonitpur district,2019,2,192707,444337498.7727274
assam,hojai district,2019,2,63598,125015617.43164451
assam,marigaon district,2019,2,130459,235342996.58975655
assam,chirang district,2019,2,31621,65747046.11911234
assam,cachar district,2019,2,177976,335126276.2091832
assam,nalbari district,2019,2,64729,108268162.20079285
assam,west karbi anglong district,2019,2,10260,15373392.65586704
assam,dhemaji district,2019,2,66560,150306788.81401327
assam,karimganj district,2019,2,70635,144404980.60717523
assam,bongaigaon district,2019,2,80689,155642822.44107914
assam,dima hasao district,2019,2,28118,57300032.732904054
assam,baksa district,2019,2,70162,150019543.78537178
assam,charaideo district,2019,2,45010,85061629.87310517
assam,darrang district,2019,2,70387,140869866.57193547
assam,kamrup metropolitan district,2019,2,2488968,5089657876.792284
assam,hailakandi district,2019,2,47321,79845847.4735592
assam,barpeta district,2019,2,228864,466786096.3962827
assam,goalpara district,2019,2,97473,201643499.0041993
assam,biswanath district,2019,2,61472,103930302.37445727
assam,jorhat district,2019,2,129744,231878110.7193352
assam,tinsukia district,2019,3,196245,357008533.5524102
assam,lakhimpur district,2019,3,115808,182745177.30235583
assam,kamrup district,2019,3,222439,383883901.2477784
assam,kokrajhar district,2019,3,77004,153786698.22127867
assam,karbi anglong district,2019,3,83280,173411321.7054668
assam,sivasagar district,2019,3,101503,160505383.6038673
assam,dibrugarh district,2019,3,230118,425077484.1305032
assam,south salmara mancachar district,2019,3,32727,72591552.54102534
assam,nagaon district,2019,3,258566,491551326.21533215
assam,dhubri district,2019,3,115968,235503727.27269614
assam,golaghat district,2019,3,121795,194779142.64060068
assam,udalguri district,2019,3,69169,133441413.33037564
assam,majuli district,2019,3,19170,22241164.406410635
assam,sonitpur district,2019,3,257623,533288953.0348954
assam,hojai district,2019,3,84120,154505233.54100534
assam,marigaon district,2019,3,116364,242626706.43637043
assam,chirang district,2019,3,45161,87808950.14199197
assam,cachar district,2019,3,242781,426502976.7731471
assam,nalbari district,2019,3,82814,133051985.19050579
assam,west karbi anglong district,2019,3,14546,17754122.575145133
assam,dhemaji district,2019,3,90986,171587706.61930138
assam,karimganj district,2019,3,96450,167756855.41726434
assam,bongaigaon district,2019,3,104703,184020775.95802072
assam,dima hasao district,2019,3,41878,80649915.50275356
assam,baksa district,2019,3,92868,175122110.84885266
assam,charaideo district,2019,3,59490,103441007.08569291
assam,darrang district,2019,3,90156,171891466.67902952
assam,kamrup metropolitan district,2019,3,2188998,6080999088.202992
assam,hailakandi district,2019,3,62134,95753332.8367396
assam,barpeta district,2019,3,262253,505242250.25981045
assam,goalpara district,2019,3,119928,234306376.69394106
assam,biswanath district,2019,3,78058,123277846.06646207
assam,jorhat district,2019,3,167468,274329134.3924885
assam,tinsukia district,2019,4,224113,423685126.94560075
assam,lakhimpur district,2019,4,129734,211979144.7023744
assam,kamrup district,2019,4,249708,461559258.766533
assam,kokrajhar district,2019,4,90371,198548447.25328588
assam,karbi anglong district,2019,4,95122,214907046.11081886
assam,sivasagar district,2019,4,112099,192010348.16393307
assam,dibrugarh district,2019,4,255885,470389915.7975105
assam,south salmara mancachar district,2019,4,39935,91996007.23237559
assam,nagaon district,2019,4,287586,546184547.4478517
assam,dhubri district,2019,4,134357,284612415.48264515
assam,golaghat district,2019,4,138710,238009780.18189836
assam,udalguri district,2019,4,77332,154704605.56495023
assam,majuli district,2019,4,20488,26928995.953304544
assam,sonitpur district,2019,4,298139,613461613.2726698
assam,hojai district,2019,4,95246,175607661.95152915
assam,marigaon district,2019,4,132919,263927905.91411433
assam,chirang district,2019,4,51791,101022374.81498426
assam,cachar district,2019,4,273506,482197783.1553297
assam,nalbari district,2019,4,95723,156653435.63897616
assam,west karbi anglong district,2019,4,17914,25460539.282486644
assam,dhemaji district,2019,4,103033,197496702.44348955
assam,karimganj district,2019,4,108697,194919405.22699457
assam,bongaigaon district,2019,4,119397,235963764.71799022
assam,dima hasao district,2019,4,45414,93463244.8365884
assam,baksa district,2019,4,106632,221221950.65788725
assam,charaideo district,2019,4,70323,125582119.32897243
assam,darrang district,2019,4,98623,201143725.75237712
assam,kamrup metropolitan district,2019,4,2510384,7206165641.817837
assam,hailakandi district,2019,4,67877,117286060.91560167
assam,barpeta district,2019,4,295624,613479659.5323288
assam,goalpara district,2019,4,139662,282003507.8056698
assam,biswanath district,2019,4,88764,151710760.8210323
assam,jorhat district,2019,4,185402,307700398.0221567
assam,tinsukia district,2020,1,286640,541758826.9845176
assam,lakhimpur district,2020,1,170709,275431087.19729304
assam,kamrup district,2020,1,322830,605538834.8588183
assam,kokrajhar district,2020,1,114668,248408355.21989542
assam,karbi anglong district,2020,1,113535,217131796.10672602
assam,sivasagar district,2020,1,145386,255427708.50909787
assam,dibrugarh district,2020,1,317878,585327059.678019
assam,south salmara mancachar district,2020,1,53050,131605619.18781178
assam,nagaon district,2020,1,360749,736229612.8989756
assam,dhubri district,2020,1,171651,396380458.8856824
assam,golaghat district,2020,1,179380,301335497.7930421
assam,udalguri district,2020,1,102667,191387716.4480479
assam,majuli district,2020,1,25164,35131725.05132236
assam,sonitpur district,2020,1,383179,755509094.6113625
assam,hojai district,2020,1,116561,234366183.7308593
assam,marigaon district,2020,1,178906,365789442.36522716
assam,chirang district,2020,1,69572,129457976.34682235
assam,cachar district,2020,1,375774,659702346.1886156
assam,nalbari district,2020,1,123597,204236898.97519046
assam,west karbi anglong district,2020,1,24370,34424503.58908371
assam,dhemaji district,2020,1,132751,261048437.21831787
assam,karimganj district,2020,1,149784,300337283.14218104
assam,bongaigaon district,2020,1,154338,308181647.0424576
assam,dima hasao district,2020,1,57312,113253608.62830341
assam,baksa district,2020,1,139164,286488075.0946201
assam,charaideo district,2020,1,88911,166505285.42115477
assam,darrang district,2020,1,130156,282448987.90926135
assam,kamrup metropolitan district,2020,1,3338601,10080547554.265474
assam,hailakandi district,2020,1,94255,178759552.2400369
assam,barpeta district,2020,1,367963,833078665.8149495
assam,goalpara district,2020,1,178776,399940069.48684144
assam,biswanath district,2020,1,108475,182185726.09962332
assam,jorhat district,2020,1,232108,371072710.73973197
assam,tinsukia district,2020,2,420620,618021383.1902584
assam,lakhimpur district,2020,2,272571,350989858.66494405
assam,kamrup district,2020,2,461735,696378364.1282135
assam,kokrajhar district,2020,2,172597,308298837.3237574
assam,karbi anglong district,2020,2,183647,292585692.4231733
assam,sivasagar district,2020,2,220014,286719380.2356086
assam,dibrugarh district,2020,2,447580,678491572.8304845
assam,south salmara mancachar district,2020,2,83003,196672059.63422558
assam,nagaon district,2020,2,521404,889592664.4056509
assam,dhubri district,2020,2,279128,458359612.4548876
assam,golaghat district,2020,2,290221,381486790.01234204
assam,udalguri district,2020,2,166432,268857082.80588436
assam,majuli district,2020,2,40396,51674787.72689781
assam,sonitpur district,2020,2,510820,899403354.2732959
assam,hojai district,2020,2,172987,285298432.07494795
assam,marigaon district,2020,2,240281,429689787.586447
assam,chirang district,2020,2,112936,166769974.12251493
assam,cachar district,2020,2,448258,671325302.7518412
assam,nalbari district,2020,2,198498,254116361.12580383
assam,west karbi anglong district,2020,2,42806,49256668.874245055
assam,dhemaji district,2020,2,205941,328331122.2696053
assam,karimganj district,2020,2,219675,348307355.5519594
assam,bongaigaon district,2020,2,215359,339332330.9810649
assam,dima hasao district,2020,2,90255,143371839.6172748
assam,baksa district,2020,2,220877,363494158.45049345
assam,charaideo district,2020,2,132136,187405994.2347428
assam,darrang district,2020,2,191116,334935860.5953754
assam,kamrup metropolitan district,2020,2,2543890,7190215278.036328
assam,hailakandi district,2020,2,145539,214091717.66001353
assam,barpeta district,2020,2,519590,967512954.9444927
assam,goalpara district,2020,2,261762,485118707.4615322
assam,biswanath district,2020,2,166278,223505041.45463598
assam,jorhat district,2020,2,306847,406689798.01641923
assam,tinsukia district,2020,3,442335,839411510.8503457
assam,lakhimpur district,2020,3,258450,431917438.40076566
assam,kamrup district,2020,3,445726,878646586.9277797
assam,kokrajhar district,2020,3,169456,354873433.7407801
assam,karbi anglong district,2020,3,186352,377558923.84267277
assam,sivasagar district,2020,3,213330,375381648.79175025
assam,dibrugarh district,2020,3,526945,1106487215.771987
assam,south salmara mancachar district,2020,3,76074,203318061.94884482
assam,nagaon district,2020,3,535675,1153926434.0592713
assam,dhubri district,2020,3,265528,574593610.2092601
assam,golaghat district,2020,3,278714,484885427.85811895
assam,udalguri district,2020,3,154549,312073789.4753115
assam,majuli district,2020,3,39125,56123804.82257187
assam,sonitpur district,2020,3,540972,1164586118.8388221
assam,hojai district,2020,3,175557,355628836.03412914
assam,marigaon district,2020,3,230540,512119251.2560668
assam,chirang district,2020,3,102868,192241344.00140762
assam,cachar district,2020,3,487493,920279966.2377985
assam,nalbari district,2020,3,175078,305820367.27784514
assam,west karbi anglong district,2020,3,40408,63195580.4849911
assam,dhemaji district,2020,3,206214,411442432.54643184
assam,karimganj district,2020,3,249302,504923538.1515511
assam,bongaigaon district,2020,3,227984,476147034.02800435
assam,dima hasao district,2020,3,93676,180472116.28952006
assam,baksa district,2020,3,208297,442621506.6427143
assam,charaideo district,2020,3,130863,244390041.98398152
assam,darrang district,2020,3,188334,455692195.8874371
assam,kamrup metropolitan district,2020,3,4268591,13346088870.114107
assam,hailakandi district,2020,3,161126,294342674.92533815
assam,barpeta district,2020,3,553783,1306355860.1566281
assam,goalpara district,2020,3,277508,630486618.2775412
assam,biswanath district,2020,3,171570,332570734.95310086
assam,jorhat district,2020,3,315288,542788284.757088
assam,tinsukia district,2020,4,543941,1209737013.9697673
assam,lakhimpur district,2020,4,304251,620709324.0849249
assam,kamrup district,2020,4,557203,1271039293.2521
assam,kokrajhar district,2020,4,209653,522575460.2813618
assam,karbi anglong district,2020,4,229991,548523247.5679932
assam,sivasagar district,2020,4,259736,561002521.458745
assam,dibrugarh district,2020,4,631601,1479167066.8054302
assam,south salmara mancachar district,2020,4,111015,338306352.61497504
assam,nagaon district,2020,4,667880,1665021995.8192074
assam,dhubri district,2020,4,337623,874322425.3902972
assam,golaghat district,2020,4,337771,687756877.7912595
assam,udalguri district,2020,4,181878,415302655.27819014
assam,majuli district,2020,4,43480,69435583.78914571
assam,sonitpur district,2020,4,676306,1560923095.7659307
assam,hojai district,2020,4,224628,528926408.78015757
assam,marigaon district,2020,4,277304,736327079.8480828
assam,chirang district,2020,4,121011,281687589.58493227
assam,cachar district,2020,4,623731,1434767202.3488228
assam,nalbari district,2020,4,210966,464782209.23467815
assam,west karbi anglong district,2020,4,44259,80617646.24078932
assam,dhemaji district,2020,4,250452,567469583.0598263
assam,karimganj district,2020,4,309172,754661918.8881419
assam,bongaigaon district,2020,4,301859,724047412.765212
assam,dima hasao district,2020,4,110429,262165738.17960855
assam,baksa district,2020,4,253333,644108232.3336508
assam,charaideo district,2020,4,152117,356182476.76104593
assam,darrang district,2020,4,239602,682167456.1529416
assam,kamrup metropolitan district,2020,4,5300547,16105922899.456022
assam,hailakandi district,2020,4,189140,419018012.3664531
assam,barpeta district,2020,4,724763,2053361856.4779525
assam,goalpara district,2020,4,381733,1018165139.8396726
assam,biswanath district,2020,4,215627,472733035.60243803
assam,jorhat district,2020,4,400452,815676507.4744498
assam,tinsukia district,2021,1,480161,1160430411.7091098
assam,lakhimpur district,2021,1,278213,669614741.670135
assam,kamrup district,2021,1,557802,1450662971.6951797
assam,kokrajhar district,2021,1,228889,627990382.7904459
assam,karbi anglong district,2021,1,217934,608528765.1323997
assam,sivasagar district,2021,1,242611,602350918.9850893
assam,dibrugarh district,2021,1,680608,1710571109.9822497
assam,south salmara mancachar district,2021,1,134708,477352228.40615606
assam,nagaon district,2021,1,675634,2019926209.3789358
assam,dhubri district,2021,1,362613,1035861131.4318309
assam,golaghat district,2021,1,311238,749087184.8333428
assam,udalguri district,2021,1,173233,451305008.43282115
assam,majuli district,2021,1,34915,74357604.61004795
assam,sonitpur district,2021,1,669242,1689369790.428941
assam,hojai district,2021,1,220269,591418708.8113766
assam,marigaon district,2021,1,298011,918760114.9692955
assam,chirang district,2021,1,127192,321319197.07738817
assam,cachar district,2021,1,614703,1577581912.6812966
assam,nalbari district,2021,1,197323,506378435.7122495
assam,west karbi anglong district,2021,1,41137,84887268.51304872
assam,dhemaji district,2021,1,231336,615209792.8336076
assam,karimganj district,2021,1,304173,916185934.3111196
assam,bongaigaon district,2021,1,321020,874996649.1810182
assam,dima hasao district,2021,1,104846,283821933.22303617
assam,baksa district,2021,1,260583,764921383.8988845
assam,charaideo district,2021,1,138143,380869059.4350337
assam,darrang district,2021,1,259665,757825643.4042199
assam,kamrup metropolitan district,2021,1,9400818,24003716533.697937
assam,hailakandi district,2021,1,189886,515905421.9034898
assam,barpeta district,2021,1,768249,2378951523.3799787
assam,goalpara district,2021,1,400249,1203600745.3463283
assam,biswanath district,2021,1,197774,446301042.8269607
assam,jorhat district,2021,1,388882,856404785.4295708
assam,tinsukia district,2021,2,606143,1318534292.5264628
assam,lakhimpur district,2021,2,361975,751021666.6941358
assam,kamrup district,2021,2,737877,1686926641.0395198
assam,kokrajhar district,2021,2,291109,760467202.4006457
assam,karbi anglong district,2021,2,275847,664132421.6116567
assam,sivasagar district,2021,2,303100,635897961.4545786
assam,dibrugarh district,2021,2,870918,1976153977.7728927
assam,south salmara mancachar district,2021,2,213176,702484951.4538276
assam,nagaon district,2021,2,928187,2446953429.3994994
assam,dhubri district,2021,2,528440,1316708576.7981756
assam,golaghat district,2021,2,382567,828266419.210104
assam,udalguri district,2021,2,229956,535712130.36414516
assam,majuli district,2021,2,44407,85365999.51292944
assam,sonitpur district,2021,2,848080,1929013770.5926275
assam,hojai district,2021,2,285880,717552682.8425927
assam,marigaon district,2021,2,452067,1213004303.8796182
assam,chirang district,2021,2,173228,416705187.85423946
assam,cachar district,2021,2,743120,1680050955.980187
assam,nalbari district,2021,2,265787,614926960.4062058
assam,west karbi anglong district,2021,2,51169,93322156.33253612
assam,dhemaji district,2021,2,299375,707439590.8525485
assam,karimganj district,2021,2,376322,1008636324.5592346
assam,bongaigaon district,2021,2,445957,1107075859.5018854
assam,dima hasao district,2021,2,127333,291445306.00893736
assam,baksa district,2021,2,333425,874733682.7849679
assam,charaideo district,2021,2,169721,406368639.266593
assam,darrang district,2021,2,373027,991719331.0625447
assam,kamrup metropolitan district,2021,2,12113618,26948905679.328754
assam,hailakandi district,2021,2,258553,622102715.3474636
assam,barpeta district,2021,2,1094358,2927546915.4449625
assam,goalpara district,2021,2,544911,1475602701.2507868
assam,biswanath district,2021,2,255222,546335899.8896878
assam,jorhat district,2021,2,448050,911359043.2389444
assam,tinsukia district,2021,3,726497,1620117007.2069793
assam,lakhimpur district,2021,3,433255,930738036.1633754
assam,kamrup district,2021,3,957373,2112276358.4188256
assam,kokrajhar district,2021,3,366661,966061545.1374367
assam,karbi anglong district,2021,3,338533,828250761.6786599
assam,sivasagar district,2021,3,350815,733449637.2748528
assam,dibrugarh district,2021,3,1116075,2517711536.27678
assam,south salmara mancachar district,2021,3,245208,682772092.1272931
assam,nagaon district,2021,3,1156024,2903215135.7842274
assam,dhubri district,2021,3,668723,1682447560.536893
assam,golaghat district,2021,3,446587,965096814.5378057
assam,udalguri district,2021,3,291168,657660643.9182184
assam,majuli district,2021,3,51208,102034225.95327796
assam,sonitpur district,2021,3,1030160,2385666128.443201
assam,hojai district,2021,3,368350,874185464.7310762
assam,marigaon district,2021,3,554657,1470486045.6813893
assam,chirang district,2021,3,220676,528538770.5729964
assam,cachar district,2021,3,998685,2285248942.8809485
assam,nalbari district,2021,3,318284,722110352.781739
assam,west karbi anglong district,2021,3,57137,112522665.53612569
assam,dhemaji district,2021,3,359737,848544237.4544444
assam,karimganj district,2021,3,524239,1393649226.0294735
assam,bongaigaon district,2021,3,548175,1331228200.2758412
assam,dima hasao district,2021,3,149975,353350846.5920651
assam,baksa district,2021,3,418859,1074324607.6751742
assam,charaideo district,2021,3,201059,479392451.000507
assam,darrang district,2021,3,498938,1241235475.745712
assam,kamrup metropolitan district,2021,3,16840668,36123082534.66112
assam,hailakandi district,2021,3,360281,801449299.0694864
assam,barpeta district,2021,3,1436928,3522432994.68204
assam,goalpara district,2021,3,650085,1747257315.9936597
assam,biswanath district,2021,3,288131,620203649.3743759
assam,jorhat district,2021,3,531290,1083758709.1114147
assam,tinsukia district,2021,4,924326,2099664801.0310597
assam,lakhimpur district,2021,4,560279,1263722648.4815915
assam,kamrup district,2021,4,1326629,2906827875.9780307
assam,kokrajhar district,2021,4,529425,1392051533.964034
assam,karbi anglong district,2021,4,448701,1157896438.235495
assam,sivasagar district,2021,4,452511,991840782.996415
assam,dibrugarh district,2021,4,1489321,3247229901.080471
assam,south salmara mancachar district,2021,4,314595,919174483.7722924
assam,nagaon district,2021,4,1599255,4181552742.898879
assam,dhubri district,2021,4,947815,2452971274.5289254
assam,golaghat district,2021,4,597064,1337575801.9516916
assam,udalguri district,2021,4,406086,917680978.0577191
assam,majuli district,2021,4,65312,129028300.4276244
assam,sonitpur district,2021,4,1437714,3119948215.7692075
assam,hojai district,2021,4,527676,1247022294.0951037
assam,marigaon district,2021,4,846244,2372441369.988904
assam,chirang district,2021,4,298090,751602013.9126096
assam,cachar district,2021,4,1424029,3288405319.0304804
assam,nalbari district,2021,4,437199,1015183560.9984299
assam,west karbi anglong district,2021,4,72436,155335117.4559282
assam,dhemaji district,2021,4,450526,1098025411.0441427
assam,karimganj district,2021,4,719693,2011084236.7440817
assam,bongaigaon district,2021,4,760610,1900609318.3116775
assam,dima hasao district,2021,4,188499,461001023.11421907
assam,baksa district,2021,4,575080,1530357403.5627034
assam,charaideo district,2021,4,255415,657528333.4175942
assam,darrang district,2021,4,772608,2012722511.547618
assam,kamrup metropolitan district,2021,4,22903930,48177919267.3695
assam,hailakandi district,2021,4,494043,1131182051.5056129
assam,barpeta district,2021,4,2145496,5341626359.64399
assam,goalpara district,2021,4,920783,2590433257.901761
assam,biswanath district,2021,4,368466,837297984.1361362
assam,jorhat district,2021,4,760505,1488025280.2612674
assam,tinsukia district,2022,1,1110108,2471991459.7376165
assam,lakhimpur district,2022,1,725851,1653871930.7532177
assam,kamrup district,2022,1,1708845,3838019247.423967
assam,kokrajhar district,2022,1,703834,1794915585.4684856
assam,karbi anglong district,2022,1,576671,1480533626.5264075
assam,sivasagar district,2022,1,570136,1201010320.385499
assam,dibrugarh district,2022,1,1830668,3721424814.9586687
assam,south salmara mancachar district,2022,1,424292,1357660615.5399206
assam,nagaon district,2022,1,2049272,5405490459.948576
assam,dhubri district,2022,1,1247298,3380205337.130154
assam,golaghat district,2022,1,753488,1681747448.411046
assam,udalguri district,2022,1,547716,1168300625.4282162
assam,majuli district,2022,1,89346,172837394.19285655
assam,sonitpur district,2022,1,1805856,3651941482.2987127
assam,hojai district,2022,1,665166,1595056089.1451948
assam,marigaon district,2022,1,1027786,2790138101.722805
assam,chirang district,2022,1,363645,951303010.3050023
assam,cachar district,2022,1,1869862,4225305321.285734
assam,nalbari district,2022,1,571467,1369285179.1665456
assam,west karbi anglong district,2022,1,88219,186901516.61209765
assam,dhemaji district,2022,1,562489,1369239048.8460484
assam,karimganj district,2022,1,962907,2759677605.0696893
assam,bongaigaon district,2022,1,1014501,2661981437.245404
assam,dima hasao district,2022,1,216314,509944077.09921765
assam,baksa district,2022,1,731895,1944006764.845173
assam,charaideo district,2022,1,311136,742058516.3146229
assam,darrang district,2022,1,1205741,2732173374.689469
assam,kamrup metropolitan district,2022,1,28908435,60093746992.89226
assam,hailakandi district,2022,1,652625,1476770132.0294952
assam,barpeta district,2022,1,2846523,7413611760.549712
assam,goalpara district,2022,1,1299073,3720380319.7322354
assam,biswanath district,2022,1,470228,990785769.7113907
assam,jorhat district,2022,1,978493,1768122527.2374763
assam,tinsukia district,2022,2,1393042,2864342184.623848
assam,lakhimpur district,2022,2,949594,1949181060.629253
assam,kamrup district,2022,2,2122755,4247651138.552457
assam,kokrajhar district,2022,2,941658,2134593237.4052541
assam,karbi anglong district,2022,2,663418,1596022243.6550176
assam,sivasagar district,2022,2,694978,1292419445.2581577
assam,dibrugarh district,2022,2,2372318,4426557091.530311
assam,south salmara mancachar district,2022,2,532090,1518417902.4851627
assam,nagaon district,2022,2,2624899,6401629329.647786
assam,dhubri district,2022,2,1748061,4095843491.511972
assam,golaghat district,2022,2,928135,1870905474.837348
assam,udalguri district,2022,2,731430,1374405319.608431
assam,majuli district,2022,2,105899,192613565.7361275
assam,sonitpur district,2022,2,2331103,4228702694.6406856
assam,hojai district,2022,2,832316,1885347223.2358832
assam,marigaon district,2022,2,1362294,3195268221.1941223
assam,chirang district,2022,2,483371,1142819737.0710807
assam,cachar district,2022,2,2208886,4390976386.361718
assam,nalbari district,2022,2,711088,1547056523.551427
assam,west karbi anglong district,2022,2,98911,208934121.88290805
assam,dhemaji district,2022,2,698448,1532877539.60587
assam,karimganj district,2022,2,1164306,2886007289.474466
assam,bongaigaon district,2022,2,1380703,3242058585.814122
assam,dima hasao district,2022,2,228456,545715522.4659376
assam,baksa district,2022,2,905373,2132096440.2419512
assam,charaideo district,2022,2,382915,812357268.893158
assam,darrang district,2022,2,1764727,3227701241.9922876
assam,kamrup metropolitan district,2022,2,37896005,70515346667.22395
assam,hailakandi district,2022,2,787208,1571435620.2824044
assam,barpeta district,2022,2,3782074,8597920826.98738
assam,goalpara district,2022,2,1660385,4241626695.2866406
assam,biswanath district,2022,2,604714,1221547710.8569949
assam,jorhat district,2022,2,1243165,2020664284.239387
assam,tinsukia district,2022,3,1596815,3042250714.0585003
assam,lakhimpur district,2022,3,1107100,2067093940.620087
assam,kamrup district,2022,3,2430234,4614592326.476387
assam,kokrajhar district,2022,3,1067899,2284375602.7792797
assam,karbi anglong district,2022,3,859889,1828335931.7694077
assam,sivasagar district,2022,3,747403,1314001865.700468
assam,dibrugarh district,2022,3,2307181,3933628296.025187
assam,south salmara mancachar district,2022,3,605276,1484669445.1835508
assam,nagaon district,2022,3,2968058,6558107158.010572
assam,dhubri district,2022,3,2223747,4556385241.834756
assam,golaghat district,2022,3,1053657,2034519777.2871876
assam,udalguri district,2022,3,863753,1579156771.500186
assam,majuli district,2022,3,134355,225690807.14413714
assam,sonitpur district,2022,3,3096898,5410346627.41358
assam,hojai district,2022,3,1043820,2113483858.3325524
assam,marigaon district,2022,3,1489205,3238457317.646788
assam,chirang district,2022,3,715691,1537298774.9483962
assam,cachar district,2022,3,2665315,5192449137.351445
assam,nalbari district,2022,3,794013,1648877908.7165303
assam,west karbi anglong district,2022,3,109757,205472736.923297
assam,dhemaji district,2022,3,772797,1515654182.855371
assam,karimganj district,2022,3,1334451,3178134072.4352174
assam,bongaigaon district,2022,3,1668882,3479985149.6288843
assam,dima hasao district,2022,3,288848,678521294.5272696
assam,baksa district,2022,3,994859,2149845145.9618897
assam,charaideo district,2022,3,653536,1267458929.2095046
assam,darrang district,2022,3,1805090,3233214492.5730667
assam,kamrup metropolitan district,2022,3,39606017,69410860235.2296
assam,hailakandi district,2022,3,1560929,2991549159.6529717
assam,barpeta district,2022,3,4561028,9149960686.489628
assam,goalpara district,2022,3,2054687,4590076568.303604
assam,biswanath district,2022,3,668091,1279949511.7036183
assam,jorhat district,2022,3,2264530,3694675386.605816
assam,tinsukia district,2022,4,1847473,3636219479.5014515
assam,lakhimpur district,2022,4,1397791,2505469638.516078
assam,kamrup district,2022,4,3473735,6488564510.007879
assam,kokrajhar district,2022,4,1249751,2609828653.3645363
assam,karbi anglong district,2022,4,1030879,2189719279.796463
assam,sivasagar district,2022,4,883421,1544157685.457902
assam,dibrugarh district,2022,4,2781759,4540236249.409073
assam,south salmara mancachar district,2022,4,763570,1935371793.739441
assam,nagaon district,2022,4,3466436,7442294882.997084
assam,dhubri district,2022,4,2801543,5696918774.408015
assam,golaghat district,2022,4,1247652,2348259381.7865367
assam,udalguri district,2022,4,1048339,1929847430.1772635
assam,majuli district,2022,4,170716,264376860.96607828
assam,sonitpur district,2022,4,3570910,5955878582.005959
assam,hojai district,2022,4,1188838,2311470243.4308867
assam,marigaon district,2022,4,1732867,3678892463.487752
assam,chirang district,2022,4,763852,1640747076.1993437
assam,cachar district,2022,4,3169492,6146128032.607637
assam,nalbari district,2022,4,956563,1913556549.936222
assam,west karbi anglong district,2022,4,139542,264423911.38078785
assam,dhemaji district,2022,4,913590,1749366721.703061
assam,karimganj district,2022,4,1635099,3857130937.197542
assam,bongaigaon district,2022,4,2301942,4663672960.523357
assam,dima hasao district,2022,4,323049,753858279.4564474
assam,baksa district,2022,4,1159058,2539432688.237523
assam,charaideo district,2022,4,620063,1222334993.440687
assam,darrang district,2022,4,1903379,3947924967.0539055
assam,kamrup metropolitan district,2022,4,48873033,84183380553.41818
assam,hailakandi district,2022,4,1179854,2307448482.382268
assam,barpeta district,2022,4,5914147,12025232756.80872
assam,goalpara district,2022,4,2471469,5401152298.290413
assam,biswanath district,2022,4,770207,1431848172.336092
assam,jorhat district,2022,4,2231248,3528373897.52103
assam,tinsukia district,2023,1,3283559,6117150816.0
assam,lakhimpur district,2023,1,2476912,4343543762.0
assam,kamrup district,2023,1,4930296,9371100434.0
assam,kokrajhar district,2023,1,2355923,4909355126.0
assam,karbi anglong district,2023,1,1520698,3214908329.0
assam,sivasagar district,2023,1,1570623,2672941443.0
assam,dibrugarh district,2023,1,3760225,5608974753.0
assam,south salmara mancachar district,2023,1,1508825,4356922804.0
