State,District,Year,Quater,Transaction_count,Transaction_amount
andhra-pradesh,vizianagaram district,2018,1,420990,505783445.78162
andhra-pradesh,visakhapatnam district,2018,1,1256469,1749966196.5049946
andhra-pradesh,prakasam district,2018,1,534757,748990775.8676485
andhra-pradesh,anantapur district,2018,1,638664,788830646.0324218
andhra-pradesh,ysr district,2018,1,487333,681481931.0936775
andhra-pradesh,west godavari district,2018,1,577090,853547668.7532666
andhra-pradesh,kurnool district,2018,1,679623,764905298.7350456
andhra-pradesh,chittoor district,2018,1,830324,1009621878.0870512
andhra-pradesh,guntur district,2018,1,815932,1108686589.0266829
andhra-pradesh,krishna district,2018,1,863935,1284255179.6156201
andhra-pradesh,east godavari district,2018,2,1221677,2168914928.4239016
andhra-pradesh,srikakulam district,2018,2,559868,929392017.3670053
andhra-pradesh,spsr nellore district,2018,2,780454,1542057934.0108962
andhra-pradesh,vizianagaram district,2018,2,529588,811711367.5080048
andhra-pradesh,visakhapatnam district,2018,2,1641192,2987853607.2939095
andhra-pradesh,prakasam district,2018,2,739991,1571167562.1276276
andhra-pradesh,anantapur district,2018,2,937023,1690366079.0557928
andhra-pradesh,ysr district,2018,2,690842,1415500367.6861844
andhra-pradesh,west godavari district,2018,2,786033,1688025212.3045945
andhra-pradesh,kurnool district,2018,2,968439,1531888665.6843233
andhra-pradesh,chittoor district,2018,2,1185723,1990419125.8937118
andhra-pradesh,guntur district,2018,2,1088101,2108475811.7859967
andhra-pradesh,krishna district,2018,2,1224987,2448141593.4919834
andhra-pradesh,east godavari district,2018,3,3226907,3551247095.307447
andhra-pradesh,srikakulam district,2018,3,1073883,1318322236.598471
andhra-pradesh,spsr nellore district,2018,3,1308890,2215938596.185108
andhra-pradesh,vizianagaram district,2018,3,970132,1163546006.895916
andhra-pradesh,visakhapatnam district,2018,3,3394576,4821892253.393524
andhra-pradesh,prakasam district,2018,3,1319651,2346453445.483843
andhra-pradesh,anantapur district,2018,3,1815215,2681787750.464165
andhra-pradesh,ysr district,2018,3,1557444,2235904512.2542048
andhra-pradesh,west godavari district,2018,3,1431282,2309078492.8058147
andhra-pradesh,kurnool district,2018,3,2921189,2908389261.539773
andhra-pradesh,chittoor district,2018,3,2297429,3283517630.720593
andhra-pradesh,guntur district,2018,3,1912529,3127764663.180438
andhra-pradesh,krishna district,2018,3,2396934,3754202654.3844614
andhra-pradesh,east godavari district,2018,4,3052762,4652624623.436675
andhra-pradesh,srikakulam district,2018,4,1252807,1870278609.504549
andhra-pradesh,spsr nellore district,2018,4,1814997,3293448556.9734454
andhra-pradesh,vizianagaram district,2018,4,1386787,1817673252.5417767
andhra-pradesh,visakhapatnam district,2018,4,4791421,7366635864.849373
andhra-pradesh,prakasam district,2018,4,1692862,3255254226.03728
andhra-pradesh,anantapur district,2018,4,2286391,3975878156.329829
andhra-pradesh,ysr district,2018,4,1732527,3252340063.2478595
andhra-pradesh,west godavari district,2018,4,1688482,3237504255.4632454
andhra-pradesh,kurnool district,2018,4,2508530,3626544852.4069242
andhra-pradesh,chittoor district,2018,4,3166201,4979093890.223491
andhra-pradesh,guntur district,2018,4,2546620,4730251217.696959
andhra-pradesh,krishna district,2018,4,2839161,5416251838.130407
andhra-pradesh,east godavari district,2019,1,5440146,7382264724.59952
andhra-pradesh,srikakulam district,2019,1,2526855,3407912878.4152584
andhra-pradesh,spsr nellore district,2019,1,3333584,5161932216.216368
andhra-pradesh,vizianagaram district,2019,1,2798241,3364576948.299301
andhra-pradesh,visakhapatnam district,2019,1,9690866,13459857440.552685
andhra-pradesh,prakasam district,2019,1,2931081,4807527779.215151
andhra-pradesh,anantapur district,2019,1,3891336,6044730653.191345
andhra-pradesh,ysr district,2019,1,2852197,4915811593.896078
andhra-pradesh,west godavari district,2019,1,2829437,4623764455.47309
andhra-pradesh,kurnool district,2019,1,4193432,5541564892.509682
andhra-pradesh,chittoor district,2019,1,6486813,8223371732.233585
andhra-pradesh,guntur district,2019,1,4846553,7765934169.404485
andhra-pradesh,krishna district,2019,1,5443981,9061346433.072681
andhra-pradesh,east godavari district,2019,2,4699261,9116404622.47651
andhra-pradesh,srikakulam district,2019,2,2019203,4066576539.936839
andhra-pradesh,spsr nellore district,2019,2,3141891,6880873007.4820595
andhra-pradesh,vizianagaram district,2019,2,2272320,4443041665.039663
andhra-pradesh,visakhapatnam district,2019,2,11705738,20797479804.029076
andhra-pradesh,prakasam district,2019,2,2670529,6262396448.455349
andhra-pradesh,anantapur district,2019,2,3578836,7830782361.377665
andhra-pradesh,ysr district,2019,2,2606284,6376856828.130632
andhra-pradesh,west godavari district,2019,2,2402074,5676818258.955046
andhra-pradesh,kurnool district,2019,2,3895824,7358285187.018034
andhra-pradesh,chittoor district,2019,2,5983308,10982727976.224325
andhra-pradesh,guntur district,2019,2,5005275,10405246943.481495
andhra-pradesh,krishna district,2019,2,6428472,13437029115.620754
andhra-pradesh,east godavari district,2019,3,6537303,11387726470.57774
andhra-pradesh,srikakulam district,2019,3,2556296,4610131289.524039
andhra-pradesh,spsr nellore district,2019,3,4150195,8256600118.735449
andhra-pradesh,vizianagaram district,2019,3,2861581,4922069039.19216
andhra-pradesh,visakhapatnam district,2019,3,16694947,26944837120.046288
andhra-pradesh,prakasam district,2019,3,3430750,7354502261.150911
andhra-pradesh,anantapur district,2019,3,4889720,9554081289.488277
andhra-pradesh,ysr district,2019,3,3296586,7447544274.2117815
andhra-pradesh,west godavari district,2019,3,3179541,6627629029.01413
andhra-pradesh,kurnool district,2019,3,5139134,9025632779.412457
andhra-pradesh,chittoor district,2019,3,8201783,13837455758.755266
